ID,R1_association,R1_edge_weight,R1_concreteness,R2_association,R2_edge_weight,R2_concreteness,R3_association,R3_edge_weight,R3_concreteness,R4_association,R4_edge_weight,R4_concreteness,cue,cue_weight,associations,num_distractors,num_associations,associations_mean_weight,distractors,labels,candidates,candidates_connectivity_score,candidates_connectivity_data,alternative_associations_candidates,cue_associations_str,cue_associations_lst,candidates_connectivity_score_weight,origin_candidates_number
23,teeth,86,4.96,mouth,29,4.74,dentist,11,4.93,,,,gums,134,"[""teeth"", ""mouth"", ""dentist""]",3,3,42,"[""dogs"", ""slip"", ""circus""]","[1, 3, 5]","[""circus"", ""teeth"", ""dogs"", ""mouth"", ""slip"", ""dentist""]",3,"[{'alternative_cue': 'smiling', 'alternative_cue_novel_associations': ['teeth', 'mouth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lip', 'alternative_cue_novel_associations': ['teeth', 'mouth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tongue', 'alternative_cue_novel_associations': ['teeth', 'mouth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'chew', 'alternative_cue_novel_associations': ['teeth', 'mouth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'retainer', 'alternative_cue_novel_associations': ['teeth', 'mouth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'teeth', 'alternative_cue_novel_associations': ['mouth', 'dentist'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'plaque', 'alternative_cue_novel_associations': ['teeth', 'dentist'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'floss', 'alternative_cue_novel_associations': ['teeth', 'dentist'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'jaw', 'alternative_cue_novel_associations': ['teeth', 'mouth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'jaws', 'alternative_cue_novel_associations': ['teeth', 'mouth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'chewing', 'alternative_cue_novel_associations': ['teeth', 'mouth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'oral', 'alternative_cue_novel_associations': ['teeth', 'mouth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tooth', 'alternative_cue_novel_associations': ['mouth', 'dentist'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'smile', 'alternative_cue_novel_associations': ['teeth', 'mouth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cavity', 'alternative_cue_novel_associations': ['teeth', 'dentist'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bite', 'alternative_cue_novel_associations': ['teeth', 'mouth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'orthodontist', 'alternative_cue_novel_associations': ['teeth', 'dentist'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dental', 'alternative_cue_novel_associations': ['teeth', 'dentist'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'toothbrush', 'alternative_cue_novel_associations': ['teeth', 'dentist'], 'num_alternative_cue_novel_associations': 2}]","[['teeth', 'mouth'], ['mouth', 'dentist'], ['teeth', 'dentist']]","['dentist', 'gums', 'mouth', 'teeth']","['gums', 'teeth', 'mouth', 'dentist']",16,6
24,mirror,79,4.97,water,21,5,pond,10,4.9,,,,reflection,118,"[""mirror"", ""water"", ""pond""]",3,3,36.66666667,"[""vitamin"", ""snot"", ""eating""]","[0, 5, 2]","[""mirror"", ""snot"", ""pond"", ""vitamin"", ""eating"", ""water""]",3,"[{'alternative_cue': 'glass', 'alternative_cue_novel_associations': ['mirror', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'reflective', 'alternative_cue_novel_associations': ['mirror', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'stagnant', 'alternative_cue_novel_associations': ['pond', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mineral', 'alternative_cue_novel_associations': ['vitamin', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'reflect', 'alternative_cue_novel_associations': ['mirror', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tadpole', 'alternative_cue_novel_associations': ['pond', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'algae', 'alternative_cue_novel_associations': ['pond', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lake', 'alternative_cue_novel_associations': ['pond', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ducks', 'alternative_cue_novel_associations': ['pond', 'water'], 'num_alternative_cue_novel_associations': 2}]","[['pond', 'water'], ['vitamin', 'water'], ['mirror', 'water']]","['mirror', 'pond', 'reflection', 'water']","['reflection', 'mirror', 'water', 'pond']",16,6
25,lizard,42,4.68,fire,15,4.68,newt,14,4.17,,,,salamander,73,"[""lizard"", ""fire"", ""newt""]",3,3,23.66666667,"[""arc"", ""pat"", ""horn""]","[5, 4, 3]","[""pat"", ""arc"", ""horn"", ""newt"", ""fire"", ""lizard""]",1,"[{'alternative_cue': 'amphibian', 'alternative_cue_novel_associations': ['newt', 'lizard'], 'num_alternative_cue_novel_associations': 2}]","[['newt', 'lizard']]","['fire', 'lizard', 'newt', 'salamander']","['salamander', 'lizard', 'fire', 'newt']",4,6
26,card,60,4.9,money,24,4.54,bank,13,4.78,,,,credit,97,"[""card"", ""money"", ""bank""]",3,3,32.33333333,"[""musician"", ""ski"", ""gallery""]","[5, 4, 3]","[""musician"", ""gallery"", ""ski"", ""bank"", ""money"", ""card""]",3,"[{'alternative_cue': 'debit', 'alternative_cue_novel_associations': ['card', 'money', 'bank'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'account', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mortgage', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'finance', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'finances', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'debit card', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'transaction', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'payment', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'banker', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fund', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'charge', 'alternative_cue_novel_associations': ['card', 'money'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'credit card', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'savings', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'saving', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'teller', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'loan', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'checkbook', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'vault', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'monetary', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'funds', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'financial', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'invest', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'robber', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'paycheck', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'broker', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'saver', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'deposit', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'checking', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'robbery', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bankrupt', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'debt', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cheque', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'investment', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'withdrawal', 'alternative_cue_novel_associations': ['money', 'bank'], 'num_alternative_cue_novel_associations': 2}]","[['card', 'money', 'bank'], ['money', 'bank'], ['card', 'money']]","['bank', 'card', 'credit', 'money']","['credit', 'card', 'money', 'bank']",16,6
27,bush,38,4.9,green,19,4.07,garden,18,4.73,,,,shrubbery,80,"[""bush"", ""green"", ""garden""]",3,3,25,"[""olive"", ""group"", ""letter""]","[4, 2, 1]","[""letter"", ""garden"", ""green"", ""olive"", ""bush"", ""group""]",3,"[{'alternative_cue': 'shrubs', 'alternative_cue_novel_associations': ['garden', 'green', 'bush'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'shrub', 'alternative_cue_novel_associations': ['garden', 'green', 'bush'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'hedge', 'alternative_cue_novel_associations': ['green', 'bush'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'gardener', 'alternative_cue_novel_associations': ['garden', 'green'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'weeds', 'alternative_cue_novel_associations': ['garden', 'green'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'herb', 'alternative_cue_novel_associations': ['garden', 'green'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lawn mower', 'alternative_cue_novel_associations': ['garden', 'green'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'plants', 'alternative_cue_novel_associations': ['garden', 'green'], 'num_alternative_cue_novel_associations': 2}]","[['garden', 'green', 'bush'], ['garden', 'green'], ['green', 'bush']]","['bush', 'garden', 'green', 'shrubbery']","['shrubbery', 'bush', 'green', 'garden']",16,6
28,mushroom,72,4.83,mold,31,4.85,green,13,4.07,,,,fungus,116,"[""mushroom"", ""mold"", ""green""]",3,3,38.66666667,"[""water"", ""nod"", ""lizard""]","[4, 1, 5]","[""water"", ""mold"", ""nod"", ""lizard"", ""mushroom"", ""green""]",5,"[{'alternative_cue': 'mildew', 'alternative_cue_novel_associations': ['green', 'mold'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'algae', 'alternative_cue_novel_associations': ['green', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'reptiles', 'alternative_cue_novel_associations': ['green', 'lizard'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bottles', 'alternative_cue_novel_associations': ['green', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'gecko', 'alternative_cue_novel_associations': ['green', 'lizard'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'amphibian', 'alternative_cue_novel_associations': ['lizard', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'chameleon', 'alternative_cue_novel_associations': ['green', 'lizard'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'earth', 'alternative_cue_novel_associations': ['green', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fungi', 'alternative_cue_novel_associations': ['mushroom', 'mold'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'iguana', 'alternative_cue_novel_associations': ['green', 'lizard'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'slime', 'alternative_cue_novel_associations': ['green', 'mold'], 'num_alternative_cue_novel_associations': 2}]","[['green', 'water'], ['green', 'mold'], ['green', 'lizard'], ['lizard', 'water'], ['mushroom', 'mold']]","['fungus', 'green', 'mold', 'mushroom']","['fungus', 'mushroom', 'mold', 'green']",36,6
29,dirt,20,4.86,ink,20,4.56,dirty,10,4.23,,,,smudge,67,"[""dirt"", ""ink"", ""dirty""]",3,3,16.66666667,"[""ram"", ""quarter"", ""arachnid""]","[4, 1, 0]","[""dirty"", ""ink"", ""quarter"", ""ram"", ""dirt"", ""arachnid""]",1,"[{'alternative_cue': 'gritty', 'alternative_cue_novel_associations': ['dirty', 'dirt'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'muck', 'alternative_cue_novel_associations': ['dirty', 'dirt'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'soil', 'alternative_cue_novel_associations': ['dirty', 'dirt'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'grime', 'alternative_cue_novel_associations': ['dirty', 'dirt'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'grunge', 'alternative_cue_novel_associations': ['dirty', 'dirt'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mud', 'alternative_cue_novel_associations': ['dirty', 'dirt'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'scum', 'alternative_cue_novel_associations': ['dirty', 'dirt'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'filth', 'alternative_cue_novel_associations': ['dirty', 'dirt'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dust', 'alternative_cue_novel_associations': ['dirty', 'dirt'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'soot', 'alternative_cue_novel_associations': ['dirty', 'dirt'], 'num_alternative_cue_novel_associations': 2}]","[['dirty', 'dirt']]","['dirt', 'dirty', 'ink', 'smudge']","['smudge', 'dirt', 'ink', 'dirty']",4,6
30,clock,33,5,bug,30,5,insect,13,4.89,,,,tick,107,"[""clock"", ""bug"", ""insect""]",3,3,25.33333333,"[""jacket"", ""wrench"", ""woodwind""]","[1, 3, 0]","[""insect"", ""clock"", ""woodwind"", ""bug"", ""jacket"", ""wrench""]",1,"[{'alternative_cue': 'critter', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pest', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'grasshopper', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'firefly', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dragonfly', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'moth', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cricket', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'flea', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'horsefly', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'centipede', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'beetle', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'roach', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'termite', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mosquito', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'crawly', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'exoskeleton', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ladybug', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ladybird', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ant', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cockroach', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'antenna', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mite', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fly', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'caterpillar', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'earwig', 'alternative_cue_novel_associations': ['bug', 'insect'], 'num_alternative_cue_novel_associations': 2}]","[['bug', 'insect']]","['bug', 'clock', 'insect', 'tick']","['tick', 'clock', 'bug', 'insect']",4,6
31,parade,49,4.54,line,21,4.5,march,12,4.03,,,,procession,102,"[""parade"", ""line"", ""march""]",3,3,27.33333333,"[""guacamole"", ""list"", ""opera""]","[1, 0, 4]","[""line"", ""parade"", ""guacamole"", ""opera"", ""march"", ""list""]",0,[],[],"['line', 'march', 'parade', 'procession']","['procession', 'parade', 'line', 'march']",1,6
32,church,20,4.9,bible,18,4.61,,,,,,,evangelical,75,"[""church"", ""bible""]",4,2,19,"[""bullseye"", ""waterfall"", ""steakhouse"", ""toaster""]","[1, 5]","[""steakhouse"", ""church"", ""toaster"", ""waterfall"", ""bullseye"", ""bible""]",1,"[{'alternative_cue': 'apostle', 'alternative_cue_novel_associations': ['church', 'bible'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'christian', 'alternative_cue_novel_associations': ['church', 'bible'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'gospel', 'alternative_cue_novel_associations': ['church', 'bible'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'psalm', 'alternative_cue_novel_associations': ['church', 'bible'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sinner', 'alternative_cue_novel_associations': ['church', 'bible'], 'num_alternative_cue_novel_associations': 2}]","[['church', 'bible']]","['bible', 'church', 'evangelical']","['evangelical', 'church', 'bible']",4,6
33,baby,23,5,tear,12,4.56,,,,,,,cry,112,"[""baby"", ""tear""]",4,2,17.5,"[""mall"", ""polish"", ""punch"", ""taxi""]","[5, 0]","[""tear"", ""punch"", ""taxi"", ""polish"", ""mall"", ""baby""]",0,[],[],"['baby', 'cry', 'tear']","['cry', 'baby', 'tear']",1,6
34,brown,20,4.48,woods,12,4.87,,,,,,,bears,45,"[""brown"", ""woods""]",4,2,16,"[""surf"", ""river"", ""gal"", ""bin""]","[1, 2]","[""gal"", ""brown"", ""woods"", ""river"", ""bin"", ""surf""]",0,[],[],"['bears', 'brown', 'woods']","['bears', 'brown', 'woods']",1,6
35,sleep,29,4.44,bed,17,5,,,,,,,wake,86,"[""sleep"", ""bed""]",4,2,23,"[""packaging"", ""window"", ""television"", ""mammoth""]","[3, 0]","[""bed"", ""window"", ""mammoth"", ""sleep"", ""television"", ""packaging""]",1,"[{'alternative_cue': 'duvet', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'nap', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'slumber', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lay', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tired', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mattress', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bedroom', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'nighttime', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'resting', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'hotel', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dormitory', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bunk', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tiredness', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dorm', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pillow', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'motel', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cot', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bedtime', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'rest', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pajamas', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lay down', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'laid', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'laying', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sleeping pill', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'blankets', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'nightgown', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dreaming', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pyjamas', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bedsheets', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bedding', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sheets', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}]","[['sleep', 'bed']]","['bed', 'sleep', 'wake']","['wake', 'sleep', 'bed']",4,6
36,makeup,48,4.45,eyes,42,4.85,,,,,,,mascara,133,"[""makeup"", ""eyes""]",4,2,45,"[""baseball"", ""haystack"", ""husk"", ""piano""]","[4, 5]","[""husk"", ""piano"", ""haystack"", ""baseball"", ""makeup"", ""eyes""]",0,[],[],"['eyes', 'makeup', 'mascara']","['mascara', 'makeup', 'eyes']",1,6
37,diamond,27,4.89,skin,12,4.79,,,,,,,flawless,105,"[""diamond"", ""skin""]",4,2,19.5,"[""crowd"", ""teddy"", ""crust"", ""tin""]","[3, 2]","[""crowd"", ""teddy"", ""skin"", ""diamond"", ""tin"", ""crust""]",0,[],[],"['diamond', 'flawless', 'skin']","['flawless', 'diamond', 'skin']",1,6
38,child,52,4.78,pet,11,4.71,,,,,,,adopt,78,"[""child"", ""pet""]",4,2,31.5,"[""shave"", ""limo"", ""floss"", ""typewriter""]","[4, 0]","[""pet"", ""floss"", ""shave"", ""limo"", ""child"", ""typewriter""]",0,[],[],"['adopt', 'child', 'pet']","['adopt', 'child', 'pet']",1,6
39,road,26,4.75,goose,18,4.81,,,,,,,bumps,63,"[""road"", ""goose""]",4,2,22,"[""homework"", ""air force"", ""weed"", ""morse code""]","[0, 4]","[""road"", ""homework"", ""air force"", ""weed"", ""goose"", ""morse code""]",0,[],[],"['bumps', 'goose', 'road']","['bumps', 'road', 'goose']",1,6
